datetime,generation_biomass,generation_fossil_brown_coal/lignite,generation_fossil_gas,generation_fossil_hard_coal,generation_fossil_oil,generation_hydro_pumped_storage_consumption,generation_hydro_run-of-river_and_poundage,generation_hydro_water_reservoir,generation_nuclear,generation_other,generation_other_renewable,generation_solar,generation_waste,generation_wind_onshore,total_load_actual,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,rain_1h,clouds_all,is_rain
2017-07-22,8800.0,10259.0,158659.0,95530.0,6709.0,1861.0,15198.0,23667.0,141731.0,173.0,2331.0,59194.0,7185.0,64900.0,675449.0,297.11474999999996,296.225,298.0416666666667,1014.4416666666667,59.916666666666664,2.0083333333333333,140.925,0.0025,13.325,0.008333333333333333
2017-07-23,8555.0,10215.0,134645.0,86652.0,6086.0,5730.0,14664.0,21326.0,138918.0,168.0,2109.0,55528.0,7123.0,72864.0,617860.0,298.0313223140496,297.3318181818181,298.73677685950406,1018.00826446281,57.16528925619835,2.1735537190082646,153.11570247933884,0.012396694214876033,20.85123966942149,0.03305785123966942
2017-07-24,9226.0,12431.0,154567.0,98541.0,7094.0,8798.0,15032.0,28006.0,142102.0,178.0,2010.0,59027.0,7419.0,130083.0,724338.0,297.987520661157,297.38140495867765,298.6376033057851,1017.7685950413223,59.049586776859506,2.4297520661157024,178.71900826446281,0.0396694214876033,24.34710743801653,0.10743801652892562
2017-07-25,9580.0,12293.0,158040.0,89182.0,7970.0,2646.0,14672.0,25636.0,142587.0,162.0,2175.0,58920.0,6732.0,141937.0,724644.0,297.29774999999995,296.65833333333336,297.925,1016.5,55.275,2.533333333333333,149.09166666666667,0.035,27.616666666666667,0.08333333333333333
2017-07-26,9400.0,11427.0,204900.0,107345.0,8248.0,876.0,15795.0,31910.0,142481.0,448.0,2306.0,56215.0,6678.0,70596.0,750819.0,297.1941666666666,296.51666666666665,297.925,1015.3666666666667,56.61666666666667,1.975,132.26666666666668,0.007500000000000001,11.45,0.008333333333333333
2017-07-27,9176.0,14991.0,239587.0,114419.0,8157.0,0.0,15866.0,34163.0,141902.0,538.0,2227.0,55773.0,6900.0,55961.0,776936.0,299.23791666666665,298.4583333333333,300.05,1014.5916666666667,55.483333333333334,2.183333333333333,140.48333333333332,0.0,9.108333333333333,0.0
2017-07-28,9607.0,20512.0,236463.0,113110.0,8137.0,169.0,15227.0,26394.0,141452.0,524.0,2374.0,56486.0,7181.0,60688.0,779548.0,300.1185,299.55,300.64166666666665,1015.675,57.3,2.2333333333333334,112.225,0.007499999999999999,17.75,0.025
2017-07-29,9606.0,17405.0,152535.0,109707.0,7041.0,2649.0,14248.0,24688.0,141671.0,358.0,2321.0,56454.0,7675.0,102527.0,705486.0,300.0055,299.175,300.85,1015.65,53.75,1.9333333333333333,122.50833333333334,0.0,5.733333333333333,0.0
2017-07-30,8971.0,14594.0,131136.0,102623.0,6014.0,5722.0,13419.0,23613.0,145862.0,306.0,2153.0,54927.0,7841.0,89940.0,651138.0,299.44258333333335,298.6166666666667,300.25,1013.3666666666667,57.71666666666667,2.191666666666667,158.55,0.0,16.058333333333334,0.0
2017-07-31,9087.0,18133.0,193664.0,114921.0,7313.0,2500.0,14237.0,23403.0,151801.0,344.0,2188.0,53306.0,7842.0,97044.0,739211.0,298.40256,297.71,299.046,1011.432,63.48,2.64,161.584,0.014399999999999998,26.04,0.032
2017-08-01,8489.0,14733.0,125536.0,118035.0,5472.0,9886.0,11925.0,36774.0,170538.0,1349.0,2192.0,23406.0,7757.0,116171.0,651505.0,298.21625,297.55833333333334,298.84166666666664,1013.8416666666667,62.44166666666667,2.025,136.225,0.0125,29.658333333333335,0.041666666666666664
2017-08-02,8258.0,13360.0,121306.0,142296.0,7407.0,19781.0,35680.0,50902.0,170518.0,1451.0,2219.0,33320.0,7202.0,241709.0,749159.0,299.6379166666666,298.8333333333333,300.39166666666665,1017.4,55.85,1.7333333333333334,135.84166666666667,0.0,19.416666666666668,0.0
2017-08-03,8890.0,9569.0,126808.0,75562.0,7809.0,1816.0,30957.0,78212.0,170430.0,1437.0,2333.0,39474.0,6763.0,82683.0,698311.0,300.50487499999997,299.8609583333333,301.1859583333333,1015.2,50.15833333333333,1.8166666666666667,154.975,0.0,4.758333333333334,0.0
